reviewer;paper
Brian Argrow;PRETTY - passive GNSS-Reflectometry for CubeSats.
Victor Erokhin;PRETTY - passive GNSS-Reflectometry for CubeSats.
Ian Mackie;PRETTY - passive GNSS-Reflectometry for CubeSats.
Florian Klück;Trajektorienplanung für eine piezo-aktuierte elastische Kirchhoff-Platte.
Peter Paul Beran;Trajektorienplanung für eine piezo-aktuierte elastische Kirchhoff-Platte.
Jean-Yves Tourneret;Trajektorienplanung für eine piezo-aktuierte elastische Kirchhoff-Platte.
Gregory Hitz;New Computing in Medical Informatics and Health Care: Editorial to the Special Edition.
Djamel Herbadji;New Computing in Medical Informatics and Health Care: Editorial to the Special Edition.
Lian Lian;New Computing in Medical Informatics and Health Care: Editorial to the Special Edition.
Emilio Tuosto;Improving automotive embedded systems engineering at European level.
Nathan T. Depenbusch;Improving automotive embedded systems engineering at European level.
Catalin Gavriluta;Improving automotive embedded systems engineering at European level.
Alberto Dionigi;Development and test of high-speed bearingless PM synchronous machines.
Florian Klück;Development and test of high-speed bearingless PM synchronous machines.
Daniel Serrano;Development and test of high-speed bearingless PM synchronous machines.
Peter Kastner;Interdigitated impedance sensors for analysis of biological cells in microfluidic biochips.
Andrea Munafò;Interdigitated impedance sensors for analysis of biological cells in microfluidic biochips.
Hao Fu 0001;Interdigitated impedance sensors for analysis of biological cells in microfluidic biochips.
Wolfgang Kastner;Partial discharge diagnostics on inverter-fed drives of electric vehicles.
Colin Enticott;Partial discharge diagnostics on inverter-fed drives of electric vehicles.
Isaac Miller;Partial discharge diagnostics on inverter-fed drives of electric vehicles.
Manfred Wurm;Approaching flexible production with planning methods.
Michael Rathmair;Approaching flexible production with planning methods.
Manoj Karkee;Approaching flexible production with planning methods.
Gerald Steinbauer;Solution of a non-linear inverse problem to identify the surface normal velocity of ultrasound transducers.
Tao Song 0004;Solution of a non-linear inverse problem to identify the surface normal velocity of ultrasound transducers.
Margarita Chli;Solution of a non-linear inverse problem to identify the surface normal velocity of ultrasound transducers.
Mengmeng Fu;ALDIS Austrian Lightning Detection and Information System 1992-2008.
Yoshito Okada;ALDIS Austrian Lightning Detection and Information System 1992-2008.
Evangelos Boukas;ALDIS Austrian Lightning Detection and Information System 1992-2008.
Olivier Toupet;Railway track quality assessment method based on vehicle system identification.
Dieter Hutter;Railway track quality assessment method based on vehicle system identification.
Stefan Baumgart;Railway track quality assessment method based on vehicle system identification.
Arnaud Sangnier;Robuste funkbasierte Sensornetze - Aktuelle Forschungsaktivitäten und innovative Lösungsansätze für infrastrukturlose Positionierungssysteme.
Frantisek Hunka;Robuste funkbasierte Sensornetze - Aktuelle Forschungsaktivitäten und innovative Lösungsansätze für infrastrukturlose Positionierungssysteme.
Francisco Martins;Robuste funkbasierte Sensornetze - Aktuelle Forschungsaktivitäten und innovative Lösungsansätze für infrastrukturlose Positionierungssysteme.
Subir Kumar Chakraborty;Carbon Management für ein klimaneutrales Österreich.
Hamid Tohidi;Carbon Management für ein klimaneutrales Österreich.
Ridha Khédri;Carbon Management für ein klimaneutrales Österreich.
Forrest M. Hoffman;Optimized and enhanced grid architecture for electric vehicles in Europe.
Johannes Sturm;Optimized and enhanced grid architecture for electric vehicles in Europe.
Sajjad Haider 0001;Optimized and enhanced grid architecture for electric vehicles in Europe.
Junichiro Makino;Energiewende-Forschung am Institut für Computertechnik - von Erkenntnissen aus der Pionierphase zu den heutigen Herausforderungen.
Gerhard Diendorfer;Energiewende-Forschung am Institut für Computertechnik - von Erkenntnissen aus der Pionierphase zu den heutigen Herausforderungen.
Ryan M. Eustice;Energiewende-Forschung am Institut für Computertechnik - von Erkenntnissen aus der Pionierphase zu den heutigen Herausforderungen.
Ioannis Kostavelis;Analysis of transient measurements in transmission systems - correlation with network protocol data and lightning location system data.
Gerald Franzl;Analysis of transient measurements in transmission systems - correlation with network protocol data and lightning location system data.
Simon Moser;Analysis of transient measurements in transmission systems - correlation with network protocol data and lightning location system data.
Erdal Özbay;Parameter characterisation and automatic impedance matching of 13.56 MHz NFC antennas.
Samson Abramsky;Parameter characterisation and automatic impedance matching of 13.56 MHz NFC antennas.
Christian Krüger;Parameter characterisation and automatic impedance matching of 13.56 MHz NFC antennas.
Franz Kohl;Elektrische Energieversorgung - Wunsch und Wirklichkeit.
François Pomerleau;Elektrische Energieversorgung - Wunsch und Wirklichkeit.
Ravi Mathur;Elektrische Energieversorgung - Wunsch und Wirklichkeit.
Rongxing Li;Einfluss der Rotorgeometrie auf Schwingungs- und Geräuschemissionen elektrischer Fahrzeugantriebe.
Francesco Tiezzi 0001;Einfluss der Rotorgeometrie auf Schwingungs- und Geräuschemissionen elektrischer Fahrzeugantriebe.
Philipp Lutz;Einfluss der Rotorgeometrie auf Schwingungs- und Geräuschemissionen elektrischer Fahrzeugantriebe.
Ulrich Schmid 0001;Smart mobility of the future - a challenge for embedded automotive systems.
Seyed Hamid Rezatofighi;Smart mobility of the future - a challenge for embedded automotive systems.
Thomas Klatzer;Smart mobility of the future - a challenge for embedded automotive systems.
Antti Tikanmäki;Fast generic sensor models for testing highly automated vehicles in simulation.
Clemens Gnauer;Fast generic sensor models for testing highly automated vehicles in simulation.
Kevin Knoedler;Fast generic sensor models for testing highly automated vehicles in simulation.
Shiv Kumar Lohan;Verhaltensmodellierung von Delta-Sigma-ADCs unter Verwendung von Verilog-A.
Angela P. Schoellig;Verhaltensmodellierung von Delta-Sigma-ADCs unter Verwendung von Verilog-A.
Marek Kasztelnik;Verhaltensmodellierung von Delta-Sigma-ADCs unter Verwendung von Verilog-A.
Jie Li;Dreiphasiger Netzsimulator mit virtueller Ausgangsimpedanz.
Emilio Tuosto;Dreiphasiger Netzsimulator mit virtueller Ausgangsimpedanz.
António M. Pascoal;Dreiphasiger Netzsimulator mit virtueller Ausgangsimpedanz.
Divakar Yadav;Design and measurements of a permanent magnet Flux-Switching-Machine for industrial applications.
Daniel Burgos;Design and measurements of a permanent magnet Flux-Switching-Machine for industrial applications.
Bas Westerbaan;Design and measurements of a permanent magnet Flux-Switching-Machine for industrial applications.
Markus Tauber;Planung und Umsetzung einer Laborinfrastruktur für Gleichspannungs-Hochleistungs-Prüfungen.
Christoph Schmittner;Planung und Umsetzung einer Laborinfrastruktur für Gleichspannungs-Hochleistungs-Prüfungen.
Miriam Backens;Planung und Umsetzung einer Laborinfrastruktur für Gleichspannungs-Hochleistungs-Prüfungen.
Fumiya Iida;Towards generation of efficient test cases from UML/OCL models for complex safety-critical systems.
Roy S. Kalawsky;Towards generation of efficient test cases from UML/OCL models for complex safety-critical systems.
Nuno Gracias;Towards generation of efficient test cases from UML/OCL models for complex safety-critical systems.
Guido Sciavicco;Bipolar DC grids on ships: possibilities and challenges.
Tarek R. Sheltami;Bipolar DC grids on ships: possibilities and challenges.
Jianchen Zhu;Bipolar DC grids on ships: possibilities and challenges.
Markus Litzlbauer;Automatic XML schema generation from UML application profile.
Supreeth Achar;Automatic XML schema generation from UML application profile.
Rosario Pugliese;Automatic XML schema generation from UML application profile.
Faouzi Ghorbel;EMI-optimized driver for high-frequency boost converter.
Meng Zou;EMI-optimized driver for high-frequency boost converter.
Benjamin Adler;EMI-optimized driver for high-frequency boost converter.
Peter Paul Beran;Betrachtung von Kurzschlüssen in dieselgeneratorversorgten Inselnetzen - Vergleich transienter Rechnung mit Rechnung gemäß IEC 60909-0: 2016.
Konrad Diwold;Betrachtung von Kurzschlüssen in dieselgeneratorversorgten Inselnetzen - Vergleich transienter Rechnung mit Rechnung gemäß IEC 60909-0: 2016.
Moosa Katouli;Betrachtung von Kurzschlüssen in dieselgeneratorversorgten Inselnetzen - Vergleich transienter Rechnung mit Rechnung gemäß IEC 60909-0: 2016.
Tran Xuan Bach Nguyen;Fully-digital transmitter architectures and circuits for the next generation of wireless communications.
Motilal Agrawal;Fully-digital transmitter architectures and circuits for the next generation of wireless communications.
Hyoseop Lee;Fully-digital transmitter architectures and circuits for the next generation of wireless communications.
Mathias Uslar;Ingenieurausbildung im Umbruch.
Christopher G. Atkeson;Ingenieurausbildung im Umbruch.
Kazuya Yoshida;Ingenieurausbildung im Umbruch.
Tieshi Zhao;Mensch-zentrierte IKT-Lösungen in einer Smart Factory.
Colin Enticott;Mensch-zentrierte IKT-Lösungen in einer Smart Factory.
Simon Lacroix;Mensch-zentrierte IKT-Lösungen in einer Smart Factory.
Luke Fletcher;Human/machine/roboter: technologies for cognitive processes.
Richard Camilli;Human/machine/roboter: technologies for cognitive processes.
Schahram Dustdar;Human/machine/roboter: technologies for cognitive processes.
Georg Schitter;Engineering and validation support framework for power system automation and control applications.
Gundolf Haase;Engineering and validation support framework for power system automation and control applications.
Friedrich Fraundorfer;Engineering and validation support framework for power system automation and control applications.
Matan Coronel;A power hardware-in-the-loop test bench for emulation of test scenarios and mission profiles for high-power DC charging stations.
Bernhard Lendl;A power hardware-in-the-loop test bench for emulation of test scenarios and mission profiles for high-power DC charging stations.
Slavisa Garic;A power hardware-in-the-loop test bench for emulation of test scenarios and mission profiles for high-power DC charging stations.
Pedro X. La Hera;Zukunftstrends der Automatisierungstechnik und die Bedeutung von adaptiven Produktionssystemen.
Michael Hanus;Zukunftstrends der Automatisierungstechnik und die Bedeutung von adaptiven Produktionssystemen.
Danilo Tardioli;Zukunftstrends der Automatisierungstechnik und die Bedeutung von adaptiven Produktionssystemen.
Michal Munk;A 0.46-0.52-THz fully-differential quasi-monostatic FMCW radar transceiver in 90-nm SiGe BiCMOS.
Mehdi Jafari;A 0.46-0.52-THz fully-differential quasi-monostatic FMCW radar transceiver in 90-nm SiGe BiCMOS.
Graciele Batistell;A 0.46-0.52-THz fully-differential quasi-monostatic FMCW radar transceiver in 90-nm SiGe BiCMOS.
Franz Keplinger;Analyse realer 110-kV-Lastverläufe für die zeitreihenbasierte probabilistische Lastflussrechnung in der Netzplanung unter Berücksichtigung der neuen Kundengruppe Rechenzentren.
Nuno Gracias;Analyse realer 110-kV-Lastverläufe für die zeitreihenbasierte probabilistische Lastflussrechnung in der Netzplanung unter Berücksichtigung der neuen Kundengruppe Rechenzentren.
Anthony Stentz;Analyse realer 110-kV-Lastverläufe für die zeitreihenbasierte probabilistische Lastflussrechnung in der Netzplanung unter Berücksichtigung der neuen Kundengruppe Rechenzentren.
Hoa Van Nguyen;A Malicious Webpage Detection Algorithm Based on Image Semantics.
Christopher N. Roman;A Malicious Webpage Detection Algorithm Based on Image Semantics.
Farnoosh Merrikh-Bayat;A Malicious Webpage Detection Algorithm Based on Image Semantics.
Danilo Tardioli;Classification of Pneumonia Cell Images Using Improved ResNet50 Model.
Brian Argrow;Classification of Pneumonia Cell Images Using Improved ResNet50 Model.
Rami Bahsoon;Classification of Pneumonia Cell Images Using Improved ResNet50 Model.
Andrea Caiti;An Effective Turkey Marble Classification System: Convolutional Neural Network with Genetic Algorithm -Wavelet Kernel - Extreme Learning Machine.
Nicolas Vandapel;An Effective Turkey Marble Classification System: Convolutional Neural Network with Genetic Algorithm -Wavelet Kernel - Extreme Learning Machine.
Shuzhi Sam Ge;An Effective Turkey Marble Classification System: Convolutional Neural Network with Genetic Algorithm -Wavelet Kernel - Extreme Learning Machine.
Seth Hutchinson 0001;Depression Detection Based on Geometrical Features Extracted from SODP Shape of EEG Signals and Binary PSO.
Mark A. Minor;Depression Detection Based on Geometrical Features Extracted from SODP Shape of EEG Signals and Binary PSO.
Zhihua Hu;Depression Detection Based on Geometrical Features Extracted from SODP Shape of EEG Signals and Binary PSO.
Bernd Löhlein;An Investigation of Spectral Efficiency in Linear MRC and MMSE Detectors with Perfect and Imperfect CSI for Massive MIMO Systems.
Sungjin Cho;An Investigation of Spectral Efficiency in Linear MRC and MMSE Detectors with Perfect and Imperfect CSI for Massive MIMO Systems.
Mohamed Aissa;An Investigation of Spectral Efficiency in Linear MRC and MMSE Detectors with Perfect and Imperfect CSI for Massive MIMO Systems.
Javier Cremona;Un estimateur de la L
Dominik Belter;Un estimateur de la L
Ana Cortés;Un estimateur de la L
Jonni Virtema;Synthèse des traitements STAP pour la détection en environnement hétérogène.
J. Michael McCarthy;Synthèse des traitements STAP pour la détection en environnement hétérogène.
Andreas Springer;Synthèse des traitements STAP pour la détection en environnement hétérogène.
Matan Coronel;Brain Tumor Detection Based on Features Extracted and Classified Using a Low-Complexity Neural Network.
Krzysztof Skonieczny;Brain Tumor Detection Based on Features Extracted and Classified Using a Low-Complexity Neural Network.
Kyle Strabala;Brain Tumor Detection Based on Features Extracted and Classified Using a Low-Complexity Neural Network.
Rafael García;Robust and indiscernible multimedia watermarking using light weight mutational methodology.
Kevin Knoedler;Robust and indiscernible multimedia watermarking using light weight mutational methodology.
Albrecht Schmidt 0001;Robust and indiscernible multimedia watermarking using light weight mutational methodology.
Alastair A. Abbott;Handwritten Gurmukhi Digit Recognition System for Small Datasets.
Leander Tentrup;Handwritten Gurmukhi Digit Recognition System for Small Datasets.
Robert Gaugl;Handwritten Gurmukhi Digit Recognition System for Small Datasets.
Fernando Alfredo Auat Cheeín;Classification of Glaucoma Optical Coherence Tomography (OCT) Images Based on Blood Vessel Identification Using CNN and Firefly Optimization.
Vijay Kumar 0001;Classification of Glaucoma Optical Coherence Tomography (OCT) Images Based on Blood Vessel Identification Using CNN and Firefly Optimization.
Theo Tryfonas;Classification of Glaucoma Optical Coherence Tomography (OCT) Images Based on Blood Vessel Identification Using CNN and Firefly Optimization.
Eiji Koyanagi;A Robust mRMR Based Pedestrian Detection Approach Using Shape Descriptor.
Khosrow Maleknejad;A Robust mRMR Based Pedestrian Detection Approach Using Shape Descriptor.
Miroslawa Jurecka;A Robust mRMR Based Pedestrian Detection Approach Using Shape Descriptor.
Ioannis M. Rekleitis;A Comprehensive Review for Emotion Detection Based on EEG Signals: Challenges, Applications, and Open Issues.
Bappaditya Debnath;A Comprehensive Review for Emotion Detection Based on EEG Signals: Challenges, Applications, and Open Issues.
Mark Woods;A Comprehensive Review for Emotion Detection Based on EEG Signals: Challenges, Applications, and Open Issues.
Stefan Böcker;Comparative Analysis of Texture Patterns on Mammograms for Classification.
Robert Könighofer;Comparative Analysis of Texture Patterns on Mammograms for Classification.
Markus Tauber;Comparative Analysis of Texture Patterns on Mammograms for Classification.
Jehong Lee;Clustering-Based Band Selection Using Structural Similarity Index and Entropy for Hyperspectral Image Classification.
Gordon F. Wyeth;Clustering-Based Band Selection Using Structural Similarity Index and Entropy for Hyperspectral Image Classification.
Dustin Nottage;Clustering-Based Band Selection Using Structural Similarity Index and Entropy for Hyperspectral Image Classification.
Daniel Huppmann;Early-Stage Brown Spot Disease Recognition in Paddy Using Image Processing and Deep Learning Techniques.
Slawomir Koziel;Early-Stage Brown Spot Disease Recognition in Paddy Using Image Processing and Deep Learning Techniques.
Anna T. Lawniczak;Early-Stage Brown Spot Disease Recognition in Paddy Using Image Processing and Deep Learning Techniques.
Alex Graudenzi;Identification de modèles de rayonnement solaire en zone tropicale par critères d'information.
Luca Bortolussi;Identification de modèles de rayonnement solaire en zone tropicale par critères d'information.
Tom C. L. Bridge;Identification de modèles de rayonnement solaire en zone tropicale par critères d'information.
Johanna Ganglbauer;A New Approach for Automatic Sleep Staging: Siamese Neural Networks.
Christopher N. Roman;A New Approach for Automatic Sleep Staging: Siamese Neural Networks.
Gianluigi Zavattaro;A New Approach for Automatic Sleep Staging: Siamese Neural Networks.
Jay Walter Larson;Traitement STAP et modélisation SIRV : robustesse et persymétrie.
Hans Michael Muhr;Traitement STAP et modélisation SIRV : robustesse et persymétrie.
Tim Schumacher;Traitement STAP et modélisation SIRV : robustesse et persymétrie.
Michael Vorderderfler;Signature électromagnétigue des vagues déferlantes observées en configuration bistatique et en bande X.
Brent E. Tweddle;Signature électromagnétigue des vagues déferlantes observées en configuration bistatique et en bande X.
Michael Hartmann;Signature électromagnétigue des vagues déferlantes observées en configuration bistatique et en bande X.
Brian S. Thompson;Chaotic Systems Based Real-Time Implementation of Visual Cryptography Using LabVIEW.
Xin-She Yang 0001;Chaotic Systems Based Real-Time Implementation of Visual Cryptography Using LabVIEW.
José Barata;Chaotic Systems Based Real-Time Implementation of Visual Cryptography Using LabVIEW.
Catalin-Cosmin Glava;Study the Influence of Gender and Age in Recognition of Emotions from Algerian Dialect Speech.
Shiv Kumar Lohan;Study the Influence of Gender and Age in Recognition of Emotions from Algerian Dialect Speech.
Bartosz Balis;Study the Influence of Gender and Age in Recognition of Emotions from Algerian Dialect Speech.
Gunter Winkler;Novel Method for Brain Tumor Classification Based on Use of Image Entropy and Seven Hu's Invariant Moments.
Bernhard K. Aichernig;Novel Method for Brain Tumor Classification Based on Use of Image Entropy and Seven Hu's Invariant Moments.
Pierre-Henri Maire;Novel Method for Brain Tumor Classification Based on Use of Image Entropy and Seven Hu's Invariant Moments.
David Droeschel;A Multi-class SVM Based Content Based Image Retrieval System Using Hybrid Optimization Techniques.
Marco Tranzatto;A Multi-class SVM Based Content Based Image Retrieval System Using Hybrid Optimization Techniques.
Shannon B. Olsson;A Multi-class SVM Based Content Based Image Retrieval System Using Hybrid Optimization Techniques.
José Meseguer 0001;Comparison of Plant Leaf Classification Using Modified AlexNet and Support Vector Machine.
Matthias Nieuwenhuisen;Comparison of Plant Leaf Classification Using Modified AlexNet and Support Vector Machine.
Miguel-Ángel Sicilia;Comparison of Plant Leaf Classification Using Modified AlexNet and Support Vector Machine.
Steven Mills;Lung Cancer Classification Using Squeeze and Excitation Convolutional Neural Networks with Grad Cam++ Class Activation Function.
Stefan Schoder;Lung Cancer Classification Using Squeeze and Excitation Convolutional Neural Networks with Grad Cam++ Class Activation Function.
Shawndy Michael Lee;Lung Cancer Classification Using Squeeze and Excitation Convolutional Neural Networks with Grad Cam++ Class Activation Function.
Mohamed Aissa;Design and Analysis of Rectangular Microstrip Antenna (RMSA) for Millimeter Wave Communication Applications.
Martin M. Hanczyc;Design and Analysis of Rectangular Microstrip Antenna (RMSA) for Millimeter Wave Communication Applications.
Stefan Baumgart;Design and Analysis of Rectangular Microstrip Antenna (RMSA) for Millimeter Wave Communication Applications.
Martin Horn;A Novel Geometrical Method for Discrimination of Normal, Interictal and Ictal EEG Signals.
Jose Gonzalez-Mora;A Novel Geometrical Method for Discrimination of Normal, Interictal and Ictal EEG Signals.
Uwe Schäfer;A Novel Geometrical Method for Discrimination of Normal, Interictal and Ictal EEG Signals.
David M. Fratantoni;Approches géométriques pour l'estimation des fractions d'abondance en traitement de données hyperspectrales. Extensions aux modèles de mélange non linéaires.
Alberto Dionigi;Approches géométriques pour l'estimation des fractions d'abondance en traitement de données hyperspectrales. Extensions aux modèles de mélange non linéaires.
Subir Kumar Chakraborty;Approches géométriques pour l'estimation des fractions d'abondance en traitement de données hyperspectrales. Extensions aux modèles de mélange non linéaires.
Willibald Krenn;Synthesis and Comparison of Improved Edge Detection Technique Based on Metaheuristic and Intelligent Algorithm Optimization.
Yurong Guan;Synthesis and Comparison of Improved Edge Detection Technique Based on Metaheuristic and Intelligent Algorithm Optimization.
Steve A. Chien;Synthesis and Comparison of Improved Edge Detection Technique Based on Metaheuristic and Intelligent Algorithm Optimization.
Niccolò Veltri;Sélection de caractéristiques géométriques pour la reconnaissance faciale 3D.
Alvar Saenz-Otero;Sélection de caractéristiques géométriques pour la reconnaissance faciale 3D.
Eduard Kamburjan;Sélection de caractéristiques géométriques pour la reconnaissance faciale 3D.
Ben Upcroft;Precise Inspection of Geometric Parameters for Polyvinyl Chloride Pipe Section Based on Computer Vision.
Shayan Shahand;Precise Inspection of Geometric Parameters for Polyvinyl Chloride Pipe Section Based on Computer Vision.
Danwei Wang;Precise Inspection of Geometric Parameters for Polyvinyl Chloride Pipe Section Based on Computer Vision.
Lionel Heng;An Efficient Antilogarithmic Converter by Using Correction Scheme for DSP Processor.
Min Zhao;An Efficient Antilogarithmic Converter by Using Correction Scheme for DSP Processor.
Andreas Gruber;An Efficient Antilogarithmic Converter by Using Correction Scheme for DSP Processor.
Thorsten Burandt;A New Post-whitening Transform Domain LMS Algorithm.
Daniel Dietz;A New Post-whitening Transform Domain LMS Algorithm.
C.-H. Luke Ong;A New Post-whitening Transform Domain LMS Algorithm.
Rajkishan Arikapudi;A New Framework for Recognizing Normal and Epileptic Seizure from Eye Movement Signals Using Genetic Based Convolutional Neural Network.
Mark E. Campbell;A New Framework for Recognizing Normal and Epileptic Seizure from Eye Movement Signals Using Genetic Based Convolutional Neural Network.
Jan Quenzel;A New Framework for Recognizing Normal and Epileptic Seizure from Eye Movement Signals Using Genetic Based Convolutional Neural Network.
Raj Madhavan 0001;A Miniaturized CPW-Fed Reconfigurable Antenna with a Single-Dual Band and an Asymmetric Ground Plane for Switchable Band Wireless Applications.
Scott J. Duncan;A Miniaturized CPW-Fed Reconfigurable Antenna with a Single-Dual Band and an Asymmetric Ground Plane for Switchable Band Wireless Applications.
Akram Rahmani;A Miniaturized CPW-Fed Reconfigurable Antenna with a Single-Dual Band and an Asymmetric Ground Plane for Switchable Band Wireless Applications.
Marino Miculan;A New Approach for Extracting and Characterizing Fetal Electrocardiogram.
Brian Bingham;A New Approach for Extracting and Characterizing Fetal Electrocardiogram.
Pedro F. Santana;A New Approach for Extracting and Characterizing Fetal Electrocardiogram.
Bradley J. Nelson;A Novel Convolutional Neural Network Based Model for Recognition and Classification of Apple Leaf Diseases.
Yang Gao 0002;A Novel Convolutional Neural Network Based Model for Recognition and Classification of Apple Leaf Diseases.
Miriam Backens;A Novel Convolutional Neural Network Based Model for Recognition and Classification of Apple Leaf Diseases.
Hamid Tohidi;Interpolation par assimilation variationnelle de séquences multimodales d'images satellitaires de l'océan.
Ron W. Daniel;Interpolation par assimilation variationnelle de séquences multimodales d'images satellitaires de l'océan.
Daniel P. Playne;Interpolation par assimilation variationnelle de séquences multimodales d'images satellitaires de l'océan.
Ehrentraud Hager;Respiratory and Motion Artefacts Removal from ICG Signal Using Denoising Techniques for Hemodynamic Parameters Monitoring.
Indrajeet Kumar;Respiratory and Motion Artefacts Removal from ICG Signal Using Denoising Techniques for Hemodynamic Parameters Monitoring.
Lubos Brim;Respiratory and Motion Artefacts Removal from ICG Signal Using Denoising Techniques for Hemodynamic Parameters Monitoring.
R. A. John Challiss;Performance Analysis of Deep Learning Models for Detection of Autism Spectrum Disorder from EEG Signals.
Pawel Gepner;Performance Analysis of Deep Learning Models for Detection of Autism Spectrum Disorder from EEG Signals.
Stavros Vougioukas;Performance Analysis of Deep Learning Models for Detection of Autism Spectrum Disorder from EEG Signals.
Nicolas Vandapel;Statistical Analysis of Lower and Raised Pitch Voice Signal and Its Efficiency Calculation.
John P. Ryan 0001;Statistical Analysis of Lower and Raised Pitch Voice Signal and Its Efficiency Calculation.
Ana Cortés;Statistical Analysis of Lower and Raised Pitch Voice Signal and Its Efficiency Calculation.
Wojciech Bozejko;Une solution analytique pour l'identification aveugle au second ordre d'un système à deux entrées et deux sorties.
Sungjin Cho;Une solution analytique pour l'identification aveugle au second ordre d'un système à deux entrées et deux sorties.
Horst Pflügl;Une solution analytique pour l'identification aveugle au second ordre d'un système à deux entrées et deux sorties.
Georg Weichhart;Gender Classification in Human Face Images for Smart Phone Applications Based on Local Texture Information and Evaluated Kullback-Leibler Divergence.
Justin Thomas;Gender Classification in Human Face Images for Smart Phone Applications Based on Local Texture Information and Evaluated Kullback-Leibler Divergence.
Abderrahmane Herbadji;Gender Classification in Human Face Images for Smart Phone Applications Based on Local Texture Information and Evaluated Kullback-Leibler Divergence.
Andreea Iluzia Iacob;Using a Deep Learning System That Classifies Hypertensive Retinopathy Based on the Fundus Images of Patients of Wide Age.
Michael Beetz;Using a Deep Learning System That Classifies Hypertensive Retinopathy Based on the Fundus Images of Patients of Wide Age.
Vejendla Lakshman Narayana;Using a Deep Learning System That Classifies Hypertensive Retinopathy Based on the Fundus Images of Patients of Wide Age.
Rafik Djemili;Kameleon : masse de données anatomiques pour l'étude des structures squelettiques des petits vertébrés.
Markus Holzer 0001;Kameleon : masse de données anatomiques pour l'étude des structures squelettiques des petits vertébrés.
Wan J. Fokkink;Kameleon : masse de données anatomiques pour l'étude des structures squelettiques des petits vertébrés.
Enrico Simetti;Deep Neural Networks with Transfer Learning Model for Brain Tumors Classification.
Jinbao Zhao;Deep Neural Networks with Transfer Learning Model for Brain Tumors Classification.
Shingo Ito;Deep Neural Networks with Transfer Learning Model for Brain Tumors Classification.
Robert Templeton;Spatial-Spectral Random Patches Network for Classification of Hyperspectral Images.
Christopher G. Atkeson;Spatial-Spectral Random Patches Network for Classification of Hyperspectral Images.
Lorenzo Baccelliere;Spatial-Spectral Random Patches Network for Classification of Hyperspectral Images.
Richard Tran Mills;Impulse Noise Removal Based on Hybrid Genetic Algorithm.
Pedro U. Lima;Impulse Noise Removal Based on Hybrid Genetic Algorithm.
Mehdi Jafari;Impulse Noise Removal Based on Hybrid Genetic Algorithm.
Korbinian Christl;Outage Probability Analysis of MIMO-OSTBC Relaying Network Over Nakagami-m Fading Channel Conditions.
Stefano Gogioso;Outage Probability Analysis of MIMO-OSTBC Relaying Network Over Nakagami-m Fading Channel Conditions.
Filippo Caschera;Outage Probability Analysis of MIMO-OSTBC Relaying Network Over Nakagami-m Fading Channel Conditions.
Alex Graudenzi;Détection de différence de mise au point lors des prises de vues stéréoscopiques.
Jian S. Dai 0001;Détection de différence de mise au point lors des prises de vues stéréoscopiques.
Moosa Katouli;Détection de différence de mise au point lors des prises de vues stéréoscopiques.
Yutaka Kawai;Odométrie radar par analyse de la distorsion. Applications à la navigation de véhicules terrestres et nautiques.
Michael Schreiber;Odométrie radar par analyse de la distorsion. Applications à la navigation de véhicules terrestres et nautiques.
Varvara Bezhenova;Odométrie radar par analyse de la distorsion. Applications à la navigation de véhicules terrestres et nautiques.
Michael Rathmair;Étude statistique du fouillis de mer à partir de lois alpha-stables.
Jiakai Li;Étude statistique du fouillis de mer à partir de lois alpha-stables.
Jonathan Roberts 0001;Étude statistique du fouillis de mer à partir de lois alpha-stables.
Shiv Kumar Lohan;Multi-Focus Image Fusion with Multi-Scale Transform Optimized by Metaheuristic Algorithms.
Michel Laverne;Multi-Focus Image Fusion with Multi-Scale Transform Optimized by Metaheuristic Algorithms.
Taichi Sato;Multi-Focus Image Fusion with Multi-Scale Transform Optimized by Metaheuristic Algorithms.
Minling Lai;Identify Attractive and Unattractive Individuals Based on Geometric Features Using Neural Network.
Bir Bhanu;Identify Attractive and Unattractive Individuals Based on Geometric Features Using Neural Network.
Rafael Aracil;Identify Attractive and Unattractive Individuals Based on Geometric Features Using Neural Network.
Norimitsu Sakagami;Age Estimation from Left-Hand Radiographs with Deep Learning Methods.
Mario Cannataro;Age Estimation from Left-Hand Radiographs with Deep Learning Methods.
Ali Khenchaf;Age Estimation from Left-Hand Radiographs with Deep Learning Methods.
Christof Sumereder;Generating Random Numbers from Biological Signals in LabVIEW Environment and Statistical Analysis.
Yutaka Kawai;Generating Random Numbers from Biological Signals in LabVIEW Environment and Statistical Analysis.
Fletcher Thompson;Generating Random Numbers from Biological Signals in LabVIEW Environment and Statistical Analysis.
Pravakar Roy;Sélection de capteurs pour interfaces cerveau-ordinateur de type P300.
Brian Zajac;Sélection de capteurs pour interfaces cerveau-ordinateur de type P300.
Hong Linh Truong 0001;Sélection de capteurs pour interfaces cerveau-ordinateur de type P300.
Graciele Batistell;A Comparative Study of Object Classification Methods Using 3D Zernike Moment on 3D Point Clouds.
Michael Beetz;A Comparative Study of Object Classification Methods Using 3D Zernike Moment on 3D Point Clouds.
Schahram Dustdar;A Comparative Study of Object Classification Methods Using 3D Zernike Moment on 3D Point Clouds.
Alexander A. Schmidt;OPTIMED : optimisation itérative pour la résolution de problèmes inverses de grande taille.
Raj Madhavan 0001;OPTIMED : optimisation itérative pour la résolution de problèmes inverses de grande taille.
